position,vedic_name,identified_river,centroid_lon,centroid_lat,n_nodes,osm_id,provenance,note
1,Gaṅgā,Ganges,81.8787,26.8731,15159,1016304776;1020637112;1020637113;1021487136;1021487137;1030338943;1236345;1245592024;131485555;134518612;155336052;160795745;166334629;166517651;197026308;197050710;197526030;197594615;206113622;27282950;27283151;44733081;729102325;755944143;756251802;82295304;82295315;82295325;82296645;82296646;82296648;82300600;82300615;82300618;82300638;82308491;82308496,"OSM Overpass; name in [Ganga, Ganges]",
2,Yamunā,Yamuna,78.0871,29.1002,19337,1027610778;1027610779;1027610780;1027610781;1027610782;1027610783;132610023;135724885;1454937723;146759121;166517658;175353387;175665400;175665401;178708199;197187415;203133484;204980194;232485412;239806379;24944222;24944258;267825123;326077;44450007;44450008;44450009;44450010;484467688;50842711;50843374;50843415;551118878;582391895;582391899;648975828;661831376;82862309;82862320;82862327;93543881;981300176,"OSM Overpass; name in [Yamuna, Jamuna]",
3,Sarasvatī,Ghaggar-Hakra,75.7603,29.8671,12673,1091221059;1093154694;1196514101;1196514102;132558289;166030386;168858712;168858719;255682495;255683602;255683611;255691533;255695249;255695250;255696110;255707831;42020715;5388381,"OSM Overpass; name in [Ghaggar, Ghaggar-Hakra, Ghaggar River]",
4,Śutudrī,Sutlej,77.0855,31.3032,4047,1008636080;1017955063;1022219996;1022220006;120587469;1345179511;1345179512;1437035276;147847311;147847362;147847368;165931479;165931480;166148050;166148053;167984484;167984485;179920249;248011770;248015120;248023202;248026549;248034971;399569267;41539116;44377326;44378864;44379145;44379158;44379163;44379170;44379172;44379181;44379190;44379200;44379205;44379208;44379215;44379229;44379242;44379247;676095771;919730633;945259410,"OSM Overpass; name in [Sutlej, Satluj]",
5,Paruṣṇī,Ravi,74.2176,31.4844,12047,1015354547;1015354548;1015354550;11281974;1249867517;1480173736;1480173738;1503374214;166352431;230141911;232466815;25352068;25352103;27574839;27593202;526521424;56452458;641342081;71276808;75717150;75717152;8894611;913461720;913461722;994898897,"OSM Overpass; name in [Ravi, Ravi River]",
6,Asiknī,Chenab,73.6779,31.9697,12824,102024445;102024470;102410965;102410972;102443161;126674012;126674028;133029779;133029788;179491180;179491232;235781528;235781529;25349752;25349760;25351947;27297081;27587100;27587441;27626991;27781065;27781092;302412574;526680832;526680835;526680838;526680844;6085682;62103270;75652054;75652074;75652120;75652156;75652216;75652246;93015576;970683720;970683721,OSM Overpass; name in [Chenab],
7,Marudvṛdhā,uncertain (Maruvardhā / Chenab-area tributary),73.1,32.2,0,,hand-curated,Most contested ID. Hand-curated to the Chenab-Jhelum doab (Trimmu junction region) as a conservative placement between Asiknī (pos. 6) and Vitastā (pos. 8). Witzel 1995 treats the referent as uncertain. Sensitivity analysis (i) tests alternative IDs and a drop-position-7 variant.
8,Vitastā,Jhelum,73.5083,33.269,13624,1455513616;1455513617;158598119;165498821;19802998;22696256;231807832;232136820;317241512;317780073;317780074;509680559;509680560;56241496;62103654;727964480;75652086;75652211;8306691;923107888;963639411;966736287;966736288;967005687;967005688,OSM Overpass; name in [Jhelum],
9,Ārjīkīyā,Haro,72.844,33.859,2018,1241771028;1241771029;1242461675;1242461676;1363175880;19978708;24165845;24187121;27497861;27560261;28066156,"OSM Overpass; name in [Haro, Haro River]",
10,Suṣomā,Soan (Sohan / Sawan),72.7471,33.3723,3190,10693635;11703492;11703777;1280554086;1314936607;1314946294;238434559;306057853;317440393;32547056;617937252;7919832;7920924;985066449;9969420;9969439,"OSM Overpass; name in [Sawan, Suwaan, Swaan]",
